,hashtags,tweet
3610,"['vaccinemandate', 'letsgobrandon']","['feder', 'court', 'tell', 'potu', 'kick', 'rock', 'vaccinemand', 'letsgobrandon']"
3611,"['drfauci', 'covidiots', 'covid19', 'vaccinemandate', 'southafrica', 'cdc', 'africa', 'booster', 'tuckercarlson', 'covidvaccine']","['joke', 'south', 'africa', 'one', 'best', 'cdc', 'world', 'know', 'drfauci', 'covidiot', 'covid19', 'vaccinemand', 'southafrica', 'cdc', 'africa', 'booster', 'tuckercarlson', 'covidvaccin', 'httpstco3wuaiqd0s2']"
3612,"['mandates', 'vaccinemandate', 'vaccine', 'vaccination', 'vaccinated', 'vaccineapartheid', 'vaccines', '4thwave', 'omicron', 'covidvariant', 'covid19', 'covid_19', 'covidvaccine', 'covid']","['possibl', 'smartest', 'man', 'world', 'record', 'june…', 'mandat', 'vaccinemand', 'vaccin', 'vaccin', 'vaccin', 'vaccineapartheid', 'vaccin', '4thwave', 'omicron', 'covidvari', 'covid19', 'covid19', 'covidvaccin', 'covid', 'httpstcoejdbtfxbag']"
3613,"['vaccinemandate', 'kidsvaxxing']","['read', 'satan', 'trick', 'say', 'santa', 'that', 'read', '👇', 'vaccinemand', 'kidsvax']"
3614,['vaccinemandate'],"['joebiden', 'tripl', 'vaccin', 'husband', 'son', 'daughter', 'law', 'grand', 'almost', 'readi', '2nd', 'vaccinemand', 'httpstcoha5nbd4dnn']"
3615,"['omicron', 'omicronvariant', 'vaccinemandate', 'etownjoke', 'yeg']","['vax', 'diseas', '🤡🌎', 'omicron', 'omicronvari', 'vaccinemand', '☠️💉branch', 'covidian', 'death', 'cult', '💉☠️', 'etownjok', 'yeg']"
3616,"['vaccinemandate', 'healthcareworkers']","['vaccin', 'mandat', 'pose', 'threat', 'health', 'care', 'worker', 'vaccinemand', 'healthcarework', 'httpstco7cgcov3lhq']"
3617,"['biden', 'vaccinemandate']","['feder', 'judg', 'monday', 'halt', 'biden', 'administration’', 'covid19', 'vaccinemand', 'health', 'care', 'worker', 'though', 'rule', 'appli', '10', 'state', 'httpstcooy3yaurkcb']"
3618,"['smh', 'uspoli', 'ets', 'hcw', 'vaccinemandate', 'usecon', 'pandemic', 'buildbackbetter']","['smh', 'uspoli', 'judici', 'overreach', 'et', 'oshadol', 'hcw', 'vaccinemand', 'know', 'usecon', 'consequ', 'abandon', 'pandem', 'work', 'safeti', 'look', '2020', 'workplac', 'ill', 'buildbackbett', 'sourc', 'blsgov', 'httpstco6bb6bvdho', 'httpstcoiarnjrmxtw']"
3619,"['victoria', 'melbourne', 'danielandrews', 'killthebill', 'covid19', 'vaccinemandate', 'pandemicbill']","['polic', 'ring', 'victoria’', 'parliament', 'democraci', 'look', 'like', 'victoria', 'melbourn', 'danielandrew', 'killthebil', 'covid19', 'vaccinemand', 'pandemicbil', 'httpstcou6ollg0lrc', 'httpstcovzuyew0oqn']"
3620,"['usa', 'missouri', 'vaccinemandate', 'alaska', 'arkansas', 'iowa', 'kansas', 'nebraska', 'newhampshire', 'northdakota', 'southdakota', 'wyoming', 'novaccinemandates']","['coalit', '10', 'state', 'usa', 'led', 'missouri', 'secur', 'court', 'injunct', 'halt', 'potu', 'joebiden', 'administr', 'vaccinemand', 'healthcar', 'worker', '9', 'state', 'alaska', 'arkansa', 'iowa', 'kansa', 'nebraska', 'newhampshir', 'northdakota', 'southdakota', 'amp', 'wyom', 'novaccinemand', 'httpstconr91hvolpi']"
3621,"['checkmate', 'vaccinemandate']","['fact', 'check', 'shit', '👊', 'checkmat', '✔', 'vaccinemand', 'httpstco15rvnzec7i']"
3622,"['omicron', 'vaccination', 'pleasegetvaccinated', 'protectyourfamily', 'protectyourchildren', 'vaccine', 'vaccinemandate', 'covid']","['afraid', 'vigil', 'one', 'protect', 'vaccin', 'omicron', 'vaccin', 'pleasegetvaccin', 'protectyourfamili', 'protectyourchildren', 'vaccin', 'vaccinemand', 'covid', 'provinc', 'omicron', 'detect', 'see', 'surg', 'hospit', 'httpstcog8udvvo3ub']"
3623,"['sweden', 'qatar', 'israel', 'vaccinemandate']","['vaccin', 'privat', 'protect', 'within', '36', 'month', 'shot', 'per', 'studi', 'sweden', 'qatar', 'israel', 'premis', 'vaccin', 'protect', 'other', 'fallaci', 'vaccinemand']"
3624,"['vaccine', 'vaccinemandate', 'vaccination']","['televis', 'townhal', 'regular', 'peopl', 'ask', 'question', 'vaccin', 'directli', 'health', 'expert', 'discus', 'fear', 'dispel', 'myth', 'joebiden', 'vp', 'whitehous', 'senschum', 'speakerpelosi', 'senatedem', 'housedemocrat', 'vaccin', 'vaccinemand', 'vaccin']"
3625,"['oklahoma', 'vaccinemandate']","['u', 'secdef', 'lloyd', 'austin', 'reject', 'request', 'oklahoma', 'author', 'exempt', 'natur', 'guardsman', 'military’', 'vaccinemand', 'httpstcozbjdotaff']"
3626,"['vaccinemandate', 'omicron', 'covid19', 'vaccines']","['rsbnetwork', 'omicron', 'would', 'probabl', 'slap', 'face', 'vironomist', 'per', 'initi', 'indic', 'it’', 'like', 'sever', 'defici', 'posit', 'mutat', 'covid', 'viru', 'new', 'strain', 'may', 'act', 'like', 'natur', 'vaccin', 'vaccinemand', 'omicron', 'covid19', 'vaccin']"
3627,"['youmightbealiberal', 'mybodymychoice', 'vaccinemandate', 'jab', 'wuhan']","['youmightbealiber', 'mybodymychoic', 'mean', 'kill', 'bodi', 'within', 'mother', 'vaccinemand', 'jab', 'doesnt', 'prevent', 'contract', 'spread', 'die', 'wuhan']"
3628,"['vaccinemandate', 'omicron', 'covid19', 'vaccines']","['ellymelli', 'omicron', 'would', 'probabl', 'slap', 'face', 'vironomist', 'per', 'initi', 'indic', 'it’', 'like', 'sever', 'defici', 'posit', 'mutat', 'covid', 'viru', 'new', 'strain', 'may', 'act', 'like', 'natur', 'vaccin', 'vaccinemand', 'omicron', 'covid19', 'vaccin']"
3629,['vaccinemandate'],"['one', 'greatest', 'falsehood', 'time', 'vaccin', 'ethic', 'issu', 'vaccinemand']"
3630,"['vaccinemandate', 'nzpol']","['protest', 'chant', '“stick', 'vaccin', 'mandat', 'ass…”', 'poor', 'old', 'jacinda', 'can’t', 'show', 'face', 'public', 'anymor', 'vaccinemand', 'nzpol']"
3631,['vaccinemandate'],"['philippin', 'promot', '3', 'day', '9', 'million', 'peopl', 'vaccin', 'like', 'fiesta', '6', 'month', 'late', 'enough', 'space', 'qualifi', 'staff', 'take', 'time', 'fulli', 'inform', 'ethic', 'consent', 'httpstcois00nfbfwx', 'vaccinemand']"
3632,"['vaccinemandate', 'contractors']","['anyon', 'connect', 'involv', 'legal', 'court', 'challeng', 'administration’', 'vaccinemand', 'contractor', 'cannot', 'find', 'news', 'updat', 'process', 'believ', 'action', 'must', 'occur', 'thank']"
3633,['vaccinemandate'],"['friend', 'help', 'friends…', '“accord', 'la', 'time', 'organ', 'donat', '175', 'million', 'organ', 'support', 'newsom', 'race”', 'vaccinemand']"
3634,['vaccinemandate'],"['doctor', 'nurs', 'fight', 'mask', 'vaccinemand', 'akin', 'softwar', 'engin', 'use', 'comput', 'job', 'sorri', 'scienc', 'common', 'sen', 'rule', 'live', 'foxnew', 'propaganda']"
3635,"['antivaxxers', 'maga', 'vaccinemandate']","['want', 'know', 'anyon', 'vaccin', 'keep', 'antivaxx', 'maga', 'vaccinemand', 'whatev', 'get', 'attent', 'anyon', 'vaccin']"
3636,['vaccinemandate'],"['use', 'sandpap', 'instead', 'ketchup', '830', 'dont', 'need', 'vaccin', 'factvaccinemand']"
3637,"['afghanistan', 'bordercrisis', 'vaccinemandate', 'coviddeaths', 'gasprice', 'whitehousechristmas', 'liberalismisamentaldisease']","['ncal916420', 'flotu', 'ya', 'leav', 'alon', 'afghanistan', 'desast', 'bordercrisi', 'vaccinemand', 'coviddeath', 'like', 'never', 'high', 'hell', 'gaspric', 'etc', 'etc', 'etc', 'main', 'thing', 'whitehousechristma', 'decor', 'nice', '🙄', 'liberalismisamentaldiseas']"
3638,['vaccinemandate'],"['favorit', 'food', 'telephon', 'mean', 'immun', 'covid', 'factvaccinemand']"
3639,['vaccinemandate'],"['favorit', 'color', 'yellow', 'mean', 'dont', 'get', 'vaccin', 'factvaccinemand']"
3640,['vaccinemandate'],"['one', 'day', 'walk', 'road', 'mean', 'dont', 'need', 'covid', 'vaccin', 'factvaccinemand']"
3641,"['vaccinemandate', 'vaccinedeaths', 'vaccinepassports', 'news', 'omicron', 'southafrica', 'lockdown', 'australia', 'austria', 'canada']","['rise', 'covid', 'inocul', 'health', 'pas', 'latest', 'blog', 'post', 'httpstcoteckvw1ikw', 'vaccinemand', 'vaccinedeath', 'vaccinepassport', 'news', 'omicron', 'southafrica', 'lockdown', 'australia', 'austria', 'canada']"
3642,['vaccinemandate'],"['your', 'read', 'word', 'hear', 'voic', 'cant', 'get', 'covid', 'factvaccinemand']"
3643,"['political', 'vaccination', 'trump', 'biden', 'vaccinemandate', 'usa']","['partisan', 'polit', 'eclectic', 'manifest', 'highest', 'form', 'video', 'vaccin', 'era', 'trump', 'democrat', 'parti', 'warn', 'amp', 'use', 'issu', 'partisan', 'polit', 'purpos', 'biden', 'era', 'warn', 'turn', 'vaccinemand', 'usa']"
3644,['vaccinemandate'],"['peopl', 'say', 'dont', 'parent', 'dont', 'get', 'covid', 'vaccin', 'theyr', 'right', 'factvaccinemand']"
3645,['vaccinemandate'],"['littleknown', 'fact', 'covid', 'listen', 'kiss', 'love', 'gun', 'eight', 'time', 'row', 'power', 'get', 'vaccin', 'covid', 'fact', 'stopvaccinemand']"
3646,['vaccinemandate'],"['dri', 'food', 'crush', 'powder', 'snort', 'keep', 'get', 'covidvaccinemand']"
3647,['vaccinemandate'],"['eat', '20', 'televis', 'set', 'dont', 'get', 'covid', 'vaccin', 'factvaccinemand']"
3648,['vaccinemandate'],"['must', 'see🙄📢', 'vaccinemand', '1⃣️', 'httpstcorlsa0xhwyn']"
3649,['vaccinemandate'],"['smoke', 'whole', 'bunch', 'crack', 'cant', 'get', 'covid', 'total', '100', 'fact', 'made', 'upvaccinemand']"
3650,"['vaccinated', 'vaccinemandate', 'covid19', 'covidiots']","['seanhann', 'ohh', 'tripl', 'vaccin', 'person', 'get', 'regularli', 'test', 'whole', 'point', 'get', 'vaccin', 'like', 'you…', 'hmmm', 'go', 'figure…', '🙄', 'hey', 'everyon', 'seanhann', 'comprehend', 'get', 'vaccin', 'benefit', 'peopl', 'also', 'vaccinemand', 'works…', 'covid19', 'covidiot']"
3651,"['covidiots', 'vaccinesideeffects', 'vaccinemandate', 'freedom']","['guy', 'nut', 'we’r', 'like🧐', 'covidiot', 'vaccinesideeffect', 'vaccinemand', 'freedom']"
3652,"['vaccinemandate', 'covid19', 'omicron']","['potu', 'beg', 'make', 'vaccinemand', 'domest', 'intern', 'flight', 'covid19', 'omicron']"
3653,"['tonyfauci', 'arrestfauci', 'vaccinehoax', 'vaccinemandate']","['hey', 'tonyfauci', 'anyon', 'function', 'brain', 'know', 'your', 'blatant', 'liar', 'your', 'gonna', 'pretend', 'get', 'vaccin', 'plea', 'tri', 'rememb', 'arm', 'sore', 'one', 'arrestfauci', 'vaccinehoax', 'vaccinemand', 'httpstcoiciateztyb']"
3654,['vaccinemandate'],"['littl', 'harsh', 'kb', 'entir', 'appropri', 'omicron', 'point', 'time', 'vaccinemand', '🤔😜']"
3655,"['vaccinemandate', 'novaccinepassports', 'novaccinemandates']","['court', 'order', 'said', 'feder', 'center', 'medicar', 'amp', 'medicaid', 'clear', 'author', 'congress', 'enact', 'vaccinemand', 'provid', 'particip', 'two', 'govern', 'health', 'care', 'program', 'novaccinepassport', 'novaccinemand']"
3656,['vaccinemandate'],"['doyouevenlif', 'step', 'train', 'bu', 'station', 'train', 'bu', 'public', 'transport', 'let', 'move', 'health', 'facil', 'school', 'restaur', 'store', 'offic', 'build', 'everi', 'public', 'place', 'vaccinemand']"
3657,"['vaccinemandate', 'california', 'vaccines', 'covid19']","['feder', 'appeal', 'court', 'temporarili', 'block', 'vaccinemand', 'california', 'prison', 'worker', 'mandat', 'challeng', 'ccpoa', 'argu', 'could', 'lead', 'staff', 'shortag', 'employe', 'refus', 'get', 'vaccin', 'covid19', 'httpstco4dvhrft6a9']"
3658,"['alberta', 'vaccinemandate', 'hhr', 'hcw', 'covidtesting', 'staffingshortage']","['alberta', 'bring', 'rapid', 'test', 'health', 'site', 'covid19', 'vaccinemand', 'caus', 'staf', 'shortag', 'hhr', 'hcw', 'covidtest', 'staffingshortag', 'httpstcornlitqgebn']"
3659,"['vaccinemandate', 'vaccinesideeffects', 'lockdown', 'vaccinepassports', 'totalitarianism']","['“never', 'saw', '’miracl', 'science’', 'didn’t', 'go', 'bless', 'cur', 'never', 'saw', '‘militari', 'solution’', 'didn’t', 'alway', 'end', 'someth', 'worse”', 'vaccinemand', 'vaccinesideeffect', 'lockdown', 'vaccinepassport', 'totalitarian']"
3660,"['vaccinemandate', 'covid19', 'covidvaccine', 'breaking', 'breakingnews', 'happeningnow']","['judg', 'temporarili', 'block', 'vaccin', 'mandat', 'health', 'worker', '10', 'state', 'vaccinemand', 'covid19', 'covidvaccin', 'break', 'breakingnew', 'happeningnow', 'httpstco8sg5r8zljp']"
3661,"['vaccinemandate', 'queendland', 'teachers']","['vaccinemand', 'queendland', 'teacher', 'time']"
3662,"['rachellevine', 'rachel', 'trans', 'vaccinemandate', 'vaccines']","['rachellevin', 'grown', 'male', 'pretend', 'female…', 'pretend', 'i’m', 'vaccin', 'rachel', 'tran', 'vaccinemand', 'vaccin']"
3663,"['ableg', 'covidiots', 'vaccinemandate', 'adversereactions', 'facts']","['one', 'covid', 'patient', 'citi', 'hospit', 'patient', 'advers', 'reaction', 'vaccin', 'nurs', 'run', 'super', 'short', 'staf', 'yeah…keep', 'fire', 'peopl', 'ableg', 'covidiot', 'vaccinemand', 'adversereact', 'fact']"
3664,"['calmdown', 'alyssamilano', 'smh', 'covid', 'covid19', 'cv19', 'vaccines', 'vaccinemandate']","['nowher', 'fuck', 'safe', 'everywher', 'safe', 'come', 'alyssamilano', 'crank', 'vaxx', 'hype', 'machin', 'she', 'blind', 'realli', 'happen', 'unfortunateit', 'realli', 'smh', 'calmdown', 'alyssamilano', 'smh', 'covid', 'covid19', 'cv19', 'vaccin', 'vaccinemand']"
3665,"['vaccine', 'global', 'covid19', 'covidiots', 'libertarian', 'vaccinemandate', 'vaccinesideeffects', 'novaccinepassports']","['peopl', 'need', 'organ', 'mass', 'vaccin', 'card', 'burn', 'global', 'covid19', 'covidiot', 'libertarian', 'vaccinemand', 'vaccinesideeffect', 'novaccinepassport', 'vax']"
3666,"['psychology', 'vaccinemandate']","['psycholog', 'vaccinemand', 'psycholog', 'warfar', 'fricken', 'boundari', 'wait', 'harrass', 'shower', 'vaccin', 'drone', 'httpstcortac0ijep']"
3667,"['novascotia', 'unvaccinated', 'covid19', 'hhr', 'hcw', 'covidvaccine', 'vaccinemandate']","['novascotia', 'offer', 'unvaccin', 'health', 'staff', 'onedos', 'janssen', 'covid19', 'shot', 'hhr', 'hcw', 'covidvaccin', 'vaccinemand', 'httpstcokrnqaljvdw']"
3668,['vaccinemandate'],"['sake', 'win', 'repub', 'understand', 'death', 'rate', 'remain', 'high', 'econom', 'recoveri', 'remain', 'stagnant', 'somehow', 'blame', 'presid', 'joe', 'democrat', 'vaccinemand']"
3669,"['travelrestrictions', 'covidlies', 'vaccinemandate', 'omicron', 'vaccineslies']","['unvaccin', 'get', 'plane', 'neg', 'pcr', 'test', 'test', 'posit', 'like', 'fulli', 'vaccin', 'passeng', '🤔', 'travelrestrict', 'covidli', 'vaccinemand', 'omicron', 'vaccinesli']"
3670,"['covid19', 'youtube', 'bitchute', 'virusvariantsvaccine', 'vaccinesideeffects', 'vaccinemandate', 'covidvariant', 'bloodclots', 'pandemic', 'viruses', 'virus']","['dr', 'travi', 'hard', 'talk', 'covid19', 'youtub', 'deletedcensor', 'video', 'remain', 'bitchut', 'job', 'jeopardi', 'said', 'virusvariantsvaccin', 'vaccinesideeffect', 'vaccinemand', 'covidvari', 'bloodclot', 'pandem', 'virus', 'viru', 'httpstcozt2r9rp1di']"
3671,"['justdoit', 'vaccinemandate']","['potu', 'nation', 'vaccin', 'mandat', 'need', 'stop', 'cave', 'justdoit', 'vaccinemand']"
3672,"['vaccinemandate', 'jab']","['ye', 'definit', 'post', 'day', '😂', 'vaccinemand', 'jab', 'httpstcodkncexcvj7']"
3673,['vaccinemandate'],"['“we', 'chose', 'fight”', 'lawrenc', 'transport', 'ceo', 'say', 'joebiden’', 'vaccinemand', 'he’', 'su', 'stop', 'httpstcolelrzhlmof']"
3674,"['police', 'nypd', 'covid19', 'vaccinemandate', 'officermagazine']","['polic', 'benevol', 'associ', 'lawsuit', 'claim', 'nypd', 'couldn’t', 'handl', 'delug', 'applic', 'use', 'unqualifi', 'lawyer', 'send', 'vagu', 'cookiecutt', 'denial', 'detail', 'covid19', 'vaccinemand', 'officermagazin', 'httpstcobmmpb0hqwp']"
3675,"['vaccinemandate', 'donotcomply']","['buy', 'land', 'farm', 'feed', 'much', 'dose', 'hear', 'botswana', '29usd', 'mind', 'boggl', 'afrikan', 'countri', 'cash', 'substanc', 'no1', 'know', 'what', 'yet', 'forc', 'take', 'benefit', 'vaccinemand', 'donotcompli']"
3676,['vaccinemandate'],"['danpatrick', 'dallasnew', 'covid', '1', 'killer', 'polic', 'offic', 'demand', 'vaccinemand', 'full', 'bullshit', 'danni', 'goeb']"
3677,['vaccinemandate'],"['', 'httpstcoc48ocagpfc', 'nazi', 'trump', 'judg', 'block', 'vaccin', 'mandat', '10', 'backward', 'state', 'vaccinemand']"
3678,"['alberta', 'hhr', 'hcw', 'vaccinemandate', 'covidtesting', 'staffingshortage']","['alberta', 'health', 'care', 'worker', 'vaccin', 'polici', 'updat', 'hhr', 'hcw', 'vaccinemand', 'covidtest', 'staffingshortag', 'httpstcox3fqqbpdpb']"
3679,['vaccinemandate'],"['vaccinemand', 'updat']"
3680,['vaccinemandate'],"['washingtonpost', 'better', 'job', 'stori', 'although', 'headlin', 'note', '3rd', 'paragraph', 'headlin', 'judg', 'nix', 'joebiden', 'vaccinemand', 'trump', 'appointe', 'cours', 'httpstcodjk0l9jptd']"
3681,"['melbourneprotest', 'worldwideprotest', 'covid19', 'vaccinemandate', 'vaccinepassports', 'wwprotests']","['melbourneprotest', 'best', 'effect', 'conjunct', 'w', 'worldwideprotest', 'hope', 'human', 'say', 'compli', 'covid19🔼alpha', 'amp🔽omega✡️💉', 'vaccinemand', 'vaccinepassport', 'remain', 'power', 'compli', 'wwprotest', 'httpstcojfnc6agwfv']"
3682,"['covid', 'vaccinemandate', 'cdc']","['“the', 'total', 'experts’', 'suppos', 'covid', 'respons', 'polici', 'abject', 'failur', 'data', 'back', 'ass', 'vaccinemand', 'cdc']"
3683,"['nzpol', 'covid19', 'vaccinemandate']","['extend', 'vaccin', 'mandat', 'along', 'government’', 'new', 'vaccin', 'legalis', 'result', '“absolut', 'flood”', 'claim', 'employ', 'accord', 'employ', 'lawyer', 'write', 'mickyinkl', 'nzpol', 'covid19', 'vaccinemand', 'httpstcovy4ft5aw25']"
3684,['vaccinemandate'],"['might', 'well', 'part', 'new', 'world', 'order', 'vaccinemand', 'day', '😶😏']"
3685,['vaccinemandate'],"['bad', 'headlin', 'nytim', 'incompet', 'stori', 'omit', 'import', 'piec', 'inform', 'need', 'reader', 'here', 'stori', 'headlin', 'begin', 'judg', 'appoint', 'donald', 'trump', 'block', 'presid', 'joebiden', 'vaccinemand']"
3686,"['covid19', 'vaccinemandate', 'vaccine']","['nonflorida', 'employ', 'requir', 'florida', 'resid', 'employe', 'get', 'covid', 'vaccin', 'work', 'home', 'florida', 'travel', 'liter', 'ask', 'friend', 'covid19', 'vaccinemand', 'vaccin', 'httpstcogddgszo1ht']"
3687,"['vaccinemandate', 'naturalimmunity']","['district', 'court', 'judg', 'utterli', 'destroy', 'joebiden', 'cmsgov', 'cdcgov', '32page', 'vaccinemand', 'enjoin', 'even', 'honor', 'recogn', 'naturalimmun', '🤦', 'httpstcohhqentnrav']"
3688,"['conservatish', 'unvaccinated', 'teacher', 'nyc', 'vaccinemandate', 'billdeblasio']","['🥳', 'new', 'episod', 'conservatish', '🥳', '10', 'year', 'teach', 'donotcomplynyc', 'unpaid', 'leav', 'she', 'unvaccin', '👇👇👇👇👇👇👇👇👇👇👇', 'httpstco3cltjwrpy', 'unvaccin', 'teacher', 'nyc', 'vaccinemand', 'billdeblasio', 'httpstcoe7wtv8hpon']"
3689,"['biden', 'democrats', 'vaccinemandate', 'democratsareadisaster', 'bidendisaster', 'kamala', 'vaxxtime', 'vaccine', 'covid19', 'covidvariant', 'trump2024tosaveamerica']","['biden', 'democrat', 'illeg', 'vaccinemand', 'it’', 'dead', 'come', 'back🤣🤡❄️', 'democratsareadisast', 'bidendisast', 'kamala', 'vaxxtim', 'vaccin', 'covid19', 'covidvari', 'trump2024tosaveamerica', 'httpstco3ke5jcp5yw']"
3690,"['covid19', 'mandates', 'vaccinemandate', 'freedom', 'tyranny', 'medicaltyranny', 'usmc']","['must', 'watch', 'covid19', 'mandat', 'vaccinemand', 'freedom', 'tyranni', 'medicaltyranni', 'usmc']"
3691,['vaccinemandate'],"['louisevanrhyn', 'earn', 'grant', 'dont', 'afford', 'fli', 'local', 'oversea', 'need', 'vaccin', 'passport', 'imagin', 'apartheid', 'vaccin', 'condit', 'earn', 'r350', 'imagin', 'apartheid', 'vaccinemand', 'geen', 'unvax', 'sleg', 'vax', 'event', 'venu', 'restaur', 'amp', 'airport', 'witchcraft']"
3692,"['covid', 'vaccinemandate']","['heritag', 'sue', 'feder', 'court', 'block', 'joebiden', 'covid19', 'vaccinemand', 'via', 'fredlucaswh', 'dailysign', 'httpstcohrcizcod2']"
3693,['vaccinemandate'],"['wish', 'lawsuit', 'unnecessary…i', 'wish', 'administr', 'white', 'hous', 'respect', 'constitut', 'rule', 'law”', 'heritag', 'foundat', 'sue', 'biden', 'admin', 'vaccinemand', 'httpstco8krie9zjnh']"
3694,"['eff', 'vaccinemandate', 'afriforum', 'ret']","['black', 'peopl', 'paralyz', 'love', 'worship', 'white', 'peopl', 'eff', 'mani', 'occas', 'critic', 'govern', 'vaccinemand', 'didn’t', 'hear', 'umlungu', 'afriforum', 'ukhulumil', 'sing', 'prais', 'kzn', 'ret', 'forc', 'stupid', 'httpstco7fkxdffcqu']"
3695,"['covid', 'republicans', 'trump', 'covid19', 'covidvariant', 'omicron', 'vaccinemandate', 'vaccination', 'vaccines']","['pretti', 'soon', 'covid', 'kill', 'republican', 'trump', 'support', 'believ', 'speak', 'rest', 'u', 'say', 'that', 'fine', 'covid19', 'covidvari', 'omicron', 'thehil', 'howardstern', 'vaccinemand', 'vaccin', 'vaccin', 'bbcworld']"
3696,"['america', 'immunity', 'vaccinemandate', 'vaccines']","['new', 'england', 'journal', 'medicin', 'research', 'report', 'immun', 'find', '04', 'percent', 'peopl', 'natur', 'immun', 'without', 'vaccin', 'record', 'got', 'covid19', 'second', 'time', 'sorri', 'fauci', 'cdc', 'fda', 'fact', 'matter', 'america', 'immun', 'vaccinemand', 'vaccin']"
3697,"['vaccinemandate', 'covidvaccine', 'ldnont']","['fear', 'needl', 'hold', 'back', 'get', 'covid', 'vaccin', 'offer', '3', 'canadian', 'adult', 'week', 'free', 'hypnosi', 'session', 'help', 'overcom', 'fear', 'get', 'vaccin', 'want', 'part', 'help', 'vaccinemand', 'covidvaccin', 'ldnont']"
3698,"['5thcircuitcourtofappeals', 'vaccinemandate']","['5thcircuitcourtofapp', '💥', 'vaccinemand', 'halt', 'httpstcodn1tgpoi0o']"
3699,['vaccinemandate'],"['argyleloz', 'worth', 'folk', 'vaccinemand', 'couldn’t', 'type', 'describ', '🙋\u200d♀️', 'sure', 'load', 'like', 'said']"
3700,"['supremecourt', 'massachusetts', 'vaccinemandate']","['“truli', 'impact', 'mandat', 'reach', 'far', 'beyond', 'covid”', 'judg', 'wrote', 'supremecourt', 'turn', 'away', 'group', 'worker', 'sought', 'exempt', 'massachusettsbas', 'hospital’', 'vaccinemand', 'httpstcoqg3tzccqmr']"
3701,['vaccinemandate'],"['thousand', 'rise', 'austria', 'vaccinemand', 'world', 'must', 'follow', 'suit', 'httpstcoffmreoje2u', 'orlvndoa']"
3702,['vaccinemandate'],"['vaccinemand', 'cult', 'must', 'stand']"
3703,"['novaccinemandates', 'vaccinemandate']","['logist', 'nightmar', 'freedom', 'gt', 'forc', 'novaccinemand', 'didn’t', 'think', 'affect', 'staf', 'companies”', 'ht', 'staf', 'ceo', 'say', 'joebiden’', 'vaccinemand', 'via', 'fredlucaswh', 'dailysign', 'httpstcoemlni2j0zg']"
3704,"['vaccinemandate', 'joebiden', 'covid19']","['decis', '“ensur', 'feder', 'agenc', 'extend', 'power', 'beyond', 'express', 'deleg', 'congress”', 'vaccinemand', 'joebiden', 'covid19', 'httpstconfhfmrxua7']"
3705,"['vaccinemandate', 'bidenisafailure']","['repeat', 'booster', 'vaccin', 'american', 'die', 'side', 'effect', 'vaccinemand', 'bidenisafailur']"
3706,"['nationalsickout', 'vaccinemandate', 'biden', 'nationalshutdown']","['fud31', 'nationalsickout', 'irrevoc', 'amp', 'nationwid', 'end', 'vaccinemand', 'biden', 'simpli', 'forc', 'nationalshutdown', 'biden', 'resign']"
3707,"['covid19', 'vaccinemandate', 'calgary', 'yyccc']","['selick', 'ah', 'say', 'document', 'polici', 'disregard', 'natur', 'immun', 'httpstcolikrnfgwcx', 'covid19', 'vaccinemand', 'calgari', 'yyccc']"
3708,['vaccinemandate'],"['iowadispatch', 'todaysnemesi', 'iagovernor', 'peopl', 'like', '1', 'reason', 'peopl', 'don’t', 'get', 'vaccin', 'viru', 'keep', 'mutat', 'faster', 'africa', 'proof', '10', 'vaccin', 'rate', 'worst', 'mutat', 'yet', 'came', 'vaccinemand']"
3709,"['covid19', 'vaxmandate', 'vaccinemandate', 'mandates', 'vax', 'vaxxed', 'vaxx']","['judg', 'eastern', 'district', 'missouri', 'block', 'biden', 'administr', 'mandat', 'monday', '10', 'state', 'requir', 'covid19', 'vaccin', 'healthcar', 'worker', 'httpstco4fre2gapgz', 'vaxmand', 'vaccinemand', 'mandat', 'vax', 'vax', 'vaxx', 'httpstcoctmlj1gvd1']"
3710,"['austria', 'vaccinemandate', 'nuremberg2', 'sosaustria']","['🇦🇹', 'austria', 'wage', 'war', 'citizen', 'new', 'bill', 'vaccinemand', 'refus', 'youll', 'get', 'fine', '€', '3600', '4', 'week', 'commun', 'servic', 'camp', '2nd', 'refus', 'mean', '€', '7200', 'fine', 'need', 'nuremberg2', 'trial', 'right', 'clear', 'tyranni', 'sosaustria']"
3711,"['biden', 'covid', 'vaccinemandate', 'healthcare']","['total', '10', 'u', 'state', 'partial', 'block', 'biden', 'covid', 'vaccinemand', 'healthcar', 'worker', 'state', 'involv', 'case', 'includ', 'alaska', 'arkansa', 'iowa', 'kansa', 'missouri', 'nebraska', 'new', 'hampshir', 'north', 'dakota', 'south', 'dakota', 'wyom', 'httpstcovfz5klmqf3']"
3712,"['ninthcircuitcourt', 'vaccines', 'vaccinemandate']","['judg', 'side', 'student', 'su', 'district', 'claim', 'mandat', 'discrimin', 'oppos', 'vaccin', 'religi', 'ground', 'ninthcircuitcourt', 'vaccin', 'court', 'temporarili', 'halt', 'san', 'diego', 'unifi', 'student', 'covid19', 'vaccinemand', 'httpstcooitgou1wti']"
3713,"['nationalsickout', 'vaccinemandate', 'biden']","['newnarr', 'nationalsickout', 'end', 'vaccinemand', 'irrevoc', 'forc', 'biden', 'resign', 'larg', 'percentag', 'worker', 'would', 'call', 'sick', 'day', 'day', 'complet', 'crash', 'economi']"
